X,Y,U,V,T,
0.1575,0.0025,-0.0031523,-3.443e-05,0.167516,
0.1625,0.0025,-0.00311973,-3.06967e-05,0.16732,
0.1675,0.0025,-0.0030907,-2.73642e-05,0.167127,
0.1725,0.0025,-0.00306486,-2.4327e-05,0.166934,
0.1775,0.0025,-0.00304191,-2.15669e-05,0.166742,
0.1825,0.0025,-0.00302162,-1.90053e-05,0.16655,
0.1875,0.0025,-0.0030038,-1.6635e-05,0.166358,
0.1925,0.0025,-0.00298829,-1.43963e-05,0.166166,
0.1975,0.0025,-0.00297495,-1.22885e-05,0.165974,
0.2025,0.0025,-0.00296367,-1.02654e-05,0.165782,
0.2075,0.0025,-0.00295437,-8.33024e-06,0.165589,
0.2125,0.0025,-0.00294698,-6.44689e-06,0.165396,
0.2175,0.0025,-0.00294145,-4.62123e-06,0.165202,
0.2225,0.0025,-0.00293773,-2.82463e-06,0.165008,
0.2275,0.0025,-0.00293578,-1.06475e-06,0.164812,
0.2325,0.0025,-0.00293559,6.80988e-07,0.164616,
0.2375,0.0025,-0.00293713,2.40368e-06,0.164419,
0.2425,0.0025,-0.00294039,4.12098e-06,0.164221,
0.2475,0.0025,-0.00294537,5.82291e-06,0.164023,
0.2525,0.0025,-0.00295204,7.52288e-06,0.163823,
0.2575,0.0025,-0.0029604,9.20993e-06,0.163621,
0.2625,0.0025,-0.00297046,1.08937e-05,0.163419,
0.2675,0.0025,-0.00298218,1.25623e-05,0.163215,
0.2725,0.0025,-0.00299558,1.42219e-05,0.163011,
0.2775,0.0025,-0.00301062,1.58595e-05,0.162804,
0.2825,0.0025,-0.00302729,1.74781e-05,0.162597,
0.2875,0.0025,-0.00304556,1.90634e-05,0.162387,
0.2925,0.0025,-0.0030654,2.06153e-05,0.162177,
0.2975,0.0025,-0.00308676,2.21183e-05,0.161964,
0.3025,0.0025,-0.00310961,2.35693e-05,0.16175,
0.3075,0.0025,-0.00313387,2.49512e-05,0.161534,
0.3125,0.0025,-0.00315947,2.62583e-05,0.161317,
0.3175,0.0025,-0.00318634,2.74718e-05,0.161097,
0.3225,0.0025,-0.00321436,2.85834e-05,0.160876,
0.3275,0.0025,-0.00324344,2.95729e-05,0.160653,
0.3325,0.0025,-0.00327344,3.04296e-05,0.160428,
0.3375,0.0025,-0.00330422,3.11319e-05,0.1602,
0.3425,0.0025,-0.00333562,3.16672e-05,0.159971,
0.3475,0.0025,-0.00336746,3.20129e-05,0.15974,
0.3525,0.0025,-0.00339955,3.2155e-05,0.159506,
0.3575,0.0025,-0.00343166,3.20705e-05,0.15927,
0.3625,0.0025,-0.00346357,3.17447e-05,0.159032,
0.3675,0.0025,-0.00349502,3.11552e-05,0.158791,
0.3725,0.0025,-0.00352574,3.02872e-05,0.158548,
0.3775,0.0025,-0.00355544,2.912e-05,0.158303,
0.3825,0.0025,-0.00358382,2.76405e-05,0.158056,
0.3875,0.0025,-0.00361056,2.58304e-05,0.157806,
0.3925,0.0025,-0.00363531,2.36796e-05,0.157553,
0.3975,0.0025,-0.00365774,2.11742e-05,0.157299,
0.4025,0.0025,-0.00367748,1.83084e-05,0.157041,
0.4075,0.0025,-0.00369417,1.50741e-05,0.156782,
0.4125,0.0025,-0.00370745,1.14717e-05,0.156519,
0.4175,0.0025,-0.00371693,7.50026e-06,0.156255,
0.4225,0.0025,-0.00372227,3.16799e-06,0.155988,
0.4275,0.0025,-0.00372309,-1.51739e-06,0.155718,
0.4325,0.0025,-0.00371906,-6.53882e-06,0.155446,
0.4375,0.0025,-0.00370985,-1.18786e-05,0.155172,
0.4425,0.0025,-0.00369516,-1.75099e-05,0.154896,
0.4475,0.0025,-0.0036747,-2.34048e-05,0.154617,
0.4525,0.0025,-0.00364824,-2.95265e-05,0.154335,
0.4575,0.0025,-0.00361555,-3.58373e-05,0.154052,
0.4625,0.0025,-0.00357649,-4.22909e-05,0.153766,
0.4675,0.0025,-0.00353092,-4.88405e-05,0.153479,
0.4725,0.0025,-0.00347879,-5.54323e-05,0.153189,
