x,y,u,v,p
12.225,-0.5,0,0,0.1114108
12.25,-0.5,0,0,0.1110875
12.275,-0.5,0,0,0.1107637
12.3,-0.5,0,0,0.1104393
12.325,-0.5,0,0,0.1101144
12.35,-0.5,0,0,0.109789
12.375,-0.5,0,0,0.1094632
12.4,-0.5,0,0,0.1091369
12.425,-0.5,0,0,0.1088101
12.45,-0.5,0,0,0.1084829
12.475,-0.5,0,0,0.1081551
12.5,-0.5,0,0,0.107827
12.525,-0.5,0,0,0.1074984
12.55,-0.5,0,0,0.1071692
12.575,-0.5,0,0,0.1068397
12.6,-0.5,0,0,0.1065098
12.625,-0.5,0,0,0.1061794
12.65,-0.5,0,0,0.1058486
12.675,-0.5,0,0,0.1055173
12.7,-0.5,0,0,0.1051856
12.725,-0.5,0,0,0.1048534
12.75,-0.5,0,0,0.1045209
12.775,-0.5,0,0,0.104188
12.8,-0.5,0,0,0.1038546
12.825,-0.5,0,0,0.1035209
12.85,-0.5,0,0,0.1031867
12.875,-0.5,0,0,0.1028523
12.9,-0.5,0,0,0.1025173
12.925,-0.5,0,0,0.1021819
12.95,-0.5,0,0,0.1018462
12.975,-0.5,0,0,0.1015102
13,-0.5,0,0,0.1011737
13.025,-0.5,0,0,0.1008369
13.05,-0.5,0,0,0.1004997
13.075,-0.5,0,0,0.1001621
13.1,-0.5,0,0,0.09982419
13.125,-0.5,0,0,0.0994859
13.15,-0.5,0,0,0.09914727
13.175,-0.5,0,0,0.09880827
13.2,-0.5,0,0,0.09846893
13.225,-0.5,0,0,0.09812924
13.25,-0.5,0,0,0.09778921
13.275,-0.5,0,0,0.09744885
13.3,-0.5,0,0,0.09710814
13.325,-0.5,0,0,0.09676711
13.35,-0.5,0,0,0.09642574
13.375,-0.5,0,0,0.09608407
13.4,-0.5,0,0,0.09574206
13.425,-0.5,0,0,0.09539973
13.45,-0.5,0,0,0.09505709
13.475,-0.5,0,0,0.09471413
13.5,-0.5,0,0,0.09437089
