x,y,u,v,p,
19.5125,0,0,0,0.0452811,
19.5375,0,0,0,0.0446689,
19.5625,0,0,0,0.0440571,
19.5875,0,0,0,0.0434456,
19.6125,0,0,0,0.0428343,
19.6375,0,0,0,0.0422234,
19.6625,0,0,0,0.0416127,
19.6875,0,0,0,0.0410023,
19.7125,0,0,0,0.0403923,
19.7375,0,0,0,0.0397825,
19.7625,0,0,0,0.0391729,
19.7875,0,0,0,0.0385637,
19.8125,0,0,0,0.0379548,
19.8375,0,0,0,0.0373461,
19.8625,0,0,0,0.0367377,
19.8875,0,0,0,0.0361296,
19.9125,0,0,0,0.0355218,
19.9375,0,0,0,0.0349143,
19.9625,0,0,0,0.034307,
19.9875,0,0,0,0.0336999,
20.0125,0,0,0,0.0330932,
20.0375,0,0,0,0.0324867,
20.0625,0,0,0,0.0318804,
20.0875,0,0,0,0.0312745,
